Retention volume (mL),0.5hr,1.5hr,1hr,2.5hr,5hr,PPS
0.6,0.1048123,0.1083845,-0.06266873,0.0442398,-0.3579225,0.08228183
0.6033334,0.1028677,0.1078955,-0.06076066,0.04558343,-0.3597848,0.0833179
0.6066667,0.1006179,0.1074065,-0.06005423,0.04553087,-0.3603462,0.08295397
0.61,0.09957363,0.1069175,-0.06074779,0.04387615,-0.3599082,0.08328813
0.6133333,0.09982631,0.1057304,-0.06253998,0.04291951,-0.3592718,0.08372147
0.6166667,0.09967844,0.1058403,-0.06433217,0.04306532,-0.357636,0.08465835
0.62,0.1002325,0.1061524,-0.06482355,0.04441276,-0.3579953,0.08459197
0.6233333,0.1005843,0.1070634,-0.06541793,0.0449553,-0.3582592,0.08472776
0.6266667,0.09993675,0.1086763,-0.06441014,0.04510111,-0.359923,0.08516493
0.63,0.09759163,0.1094881,-0.06390588,0.04234775,-0.3603853,0.08279828
0.6333333,0.09594459,0.109598,-0.0640959,0.03939221,-0.3592454,0.08013409
0.6366667,0.09609427,0.1091129,-0.06509082,0.03713858,-0.3579109,0.07837017
0.64,0.09775076,0.1069225,-0.06688301,0.03618194,-0.3560729,0.07740352
0.6433334,0.09970098,0.1066357,-0.06687466,0.03562966,-0.3530333,0.07724176
0.6466667,0.1017542,0.106944,-0.06767122,0.03597384,-0.3510961,0.07817484
0.65,0.1024074,0.1078588,-0.06826178,0.03692073,-0.3521611,0.07741036
0.6533334,0.1021604,0.1082701,-0.06845561,0.03746327,-0.3526234,0.07494453
0.6566667,0.1011122,0.1086813,-0.06804673,0.03580854,-0.3529865,0.07287925
0.66,0.1002663,0.1074904,-0.06934301,0.03395545,-0.3540476,0.07261451
0.6633334,0.1015184,0.1063034,-0.0704333,0.031801,-0.3534113,0.07415029
0.6666667,0.1039722,0.1047157,-0.07292739,0.032046,-0.3523705,0.07618581
0.67,0.1054265,0.1044251,-0.07302205,0.0348888,-0.3519363,0.07752324
0.6733333,0.1070792,0.1045388,-0.07131235,0.0378346,-0.3534972,0.0784563
0.6766667,0.1075302,0.1048509,-0.070007,0.03978094,-0.35576,0.07819156
0.68,0.1082826,0.1058611,-0.06859867,0.04102539,-0.3575231,0.07752627
0.6833333,0.1108356,0.1053721,-0.06899086,0.04037011,-0.3595837,0.07716234
0.6866667,0.113789,0.1028842,-0.07058469,0.0406151,-0.357349,0.07729813
0.69,0.1167425,0.1003963,-0.07157961,0.04046337,-0.3568118,0.07733475
0.6933333,0.1191963,0.09860651,-0.07237235,0.04150563,-0.3563738,0.07756973
0.6966667,0.12165,0.09772079,-0.07216565,0.04165144,-0.3571336,0.07800307
0.7,0.1229022,0.09813206,-0.07125703,0.04159889,-0.357798,0.07834105
0.7033334,0.1214535,0.09834115,-0.07045141,0.04044389,-0.3584587,0.07787412
0.7066667,0.1201078,0.09895461,-0.07084361,0.03878916,-0.3577231,0.07751019
0.71,0.11996,0.09686344,-0.07343689,0.03623416,-0.3581854,0.07694409
0.7133334,0.1198121,0.09457772,-0.07442799,0.03377835,-0.3569463,0.07688152
0.7166667,0.1207667,0.09318846,-0.07572427,0.03192526,-0.3546085,0.07831431
0.72,0.1215191,0.0937981,-0.07691756,0.03136916,-0.3534724,0.07975093
0.7233334,0.1215734,0.09411019,-0.07730976,0.03191552,-0.3519358,0.07988672
0.7266667,0.119625,0.09562391,-0.07720223,0.03195833,-0.3507997,0.07842034
0.73,0.1159791,0.09643573,-0.07729307,0.03090633,-0.3502587,0.07625587
0.7333333,0.1139315,0.09654564,-0.07728854,0.02804997,-0.348024,0.07499168
0.7366667,0.1130855,0.09485883,-0.07917991,0.02519743,-0.3442863,0.07592856
0.74,0.1121366,0.09427065,-0.08167401,0.02474052,-0.3408499,0.07726217
0.7433333,0.112992,0.09388084,-0.08296648,0.02688523,-0.3382108,0.07939687
0.7466667,0.1127449,0.09489103,-0.08375922,0.02863321,-0.3361745,0.08133321
0.75,0.1119981,0.09590502,-0.08345333,0.03127765,-0.334634,0.08266681
0.7533333,0.1101489,0.09831519,-0.08274689,0.03212155,-0.3358973,0.08270343
0.7566667,0.1102032,0.09892865,-0.08394018,0.03246573,-0.3348604,0.08134005
0.76,0.1117567,0.09903856,-0.08523265,0.0329129,-0.3324235,0.08207475
0.7633334,0.1132072,0.09864875,-0.0859262,0.03365761,-0.3299866,0.08260728
0.7666667,0.1131624,0.09826275,-0.08671894,0.03470369,-0.3273475,0.08284608
0.77,0.1146129,0.09907457,-0.08590951,0.03634868,-0.3264098,0.08277969
0.7733334,0.1146672,0.100985,-0.08350553,0.03609395,-0.3270742,0.08251494
0.7766667,0.1137182,0.1030976,-0.07989611,0.03743757,-0.3275365,0.08144911
0.78,0.1120712,0.1031084,-0.07859077,0.03828529,-0.3273998,0.07948682
0.7833334,0.1100274,0.1027186,-0.07828488,0.03602784,-0.3277629,0.07732236
0.7866667,0.1086779,0.1006312,-0.07837572,0.03527338,-0.3269244,0.07665707
0.79,0.1083317,0.09844086,-0.07716956,0.03562137,-0.3270853,0.07668987
0.7933334,0.1091833,0.09695242,-0.0759634,0.03566419,-0.3280473,0.07802729
0.7966667,0.108036,0.09746669,-0.07365479,0.03751135,-0.330413,0.07855982
0.8,0.1049889,0.09907578,-0.07084646,0.03775634,-0.3345756,0.07799753
0.8033333,0.1021441,0.100887,-0.06923976,0.03720025,-0.3376356,0.07613061
